69D7C818	Protein measurement with the folin phenol reagent	178438	1951	Journal of Biological Chemistry	oliver h lowry		n j rosebrough	
7D383B95	Cleavage of Structural Proteins during the Assembly of the Head of Bacteriophage T4	118282	1970	Nature	u k laemmli			
7EE067E0	A rapid and sensitive method for the quantitation of microgram quantities of protein utilizing the principle of protein-dye binding.	112307	1976	Analytical Biochemistry	marion m bradford			
7FD485EB	Molecular cloning : a laboratory manual	44086	1989	BioScience	joseph sambrook		e f fritsch	
7FCA8EA1	Density‐functional thermochemistry. III. The role of exact exchange	37058	1993	Journal of Chemical Physics	axel d becke	queen s university		
7F3EA639	SINGLE STEP METHOD OF RNA ISOLATION BY ACID GUANIDINIUM-THIOCYANATE-PHENOL-CHLOROFORM EXTRACTION	36800	1987	Analytical Biochemistry	piotr chomczynski		nicoletta sacchi	
7D9479E6	CLUSTAL W: improving the sensitivity of progressive multiple sequence alignment through sequence weighting, position-specific gap penalties and weight matrix choice	31088	1994	Nucleic Acids Research	julie d thompson		desmond g higgins	
7D9A7FA2	Analysis of Relative Gene Expression Data Using Real-Time Quantitative PCR and the 2 −ΔΔCT Method	28574	2001	Methods	kenneth j livak		thomas d schmittgen	
81411859	A SIMPLE METHOD FOR THE ISOLATION AND PURIFICATION OF TOTAL LIPIDES FROM ANIMAL TISSUES	28086	1957	Journal of Biological Chemistry	jordi folch		marjorie d lees	
78E9500B	Analysis of relative gene expression data using real-time quantitative PCR and the 2(-Delta Delta C(T)) Method.	27888	2001	Methods	kenneth j livak		thomas d schmittgen	
7D087648	THE NEIGHBOR-JOINING METHOD: A NEW METHOD FOR RECONSTRUCTING PHYLOGENETIC TREES	27597	1987	Molecular Biology and Evolution	naruya saitou		masatoshi nei	
7D3C6042	Electrophoretic transfer of proteins from polyacrylamide gels to nitrocellulose sheets: procedure and some applications	25387	1979	Proceedings of the National Academy of Sciences of the United States of America	harry towbin		theophil staehelin	
7CA0815F	Am J Psychiatry	23325	1996	Journal of Developmental and Behavioral Pediatrics	j i thomby		s m streichenwein	
7A7D793B	Basic local alignment search tool.	22948	1990	Journal of Molecular Biology	stephen f altschul		warren gish	
80AB5FA4	Gapped BLAST and PSI-BLAST: a new generation of protein database search programs	21812	1997	Nucleic Acids Research	stephen f altschul		thomas l madden	
7581CB81	The Moderator-Mediator Variable Distinction in Social Psychological Research: Conceptual, Strategic, and Statistical Considerations	21809	1986	Journal of Personality and Social Psychology	reuben m baron	university of connecticut	david a kenny	university of connecticut
78AC45F5	A Revised Medium for Rapid Growth and Bio Assays with Tobacco Tissue Cultures	20680	1962	Physiologia Plantarum	toshio murashige	university of wisconsin madison	folke skoog	university of wisconsin madison
7E0F18D1	Rapid colorimetric assay for cellular growth and survival: application to proliferation and cytotoxicity assays.	20515	1983	Journal of Immunological Methods	tim r mosmann			
8107E13D	The Measurement of Observer Agreement for Categorical Data	19713	1977	Biometrics	john richard landis			
6E198F45	"Mini-mental state". A practical method for grading the cognitive state of patients for the clinician.	19507	1975	Journal of Psychiatric Research	marshal f folstein		susan e folstein	
790E189F	Confidence limits on phylogenies: an approach using the bootstrap	19435	1985	Evolution	joseph felsenstein	university of washington		
61B1A771	Genetic Algorithms in Search, Optimization and Machine Learning	19037	1989		david e goldberg			
755A084D	Calorimetric method for determination of sugars and related substances	18100	1956	Analytical Chemistry	dubois			
7EAAC719	MEGA4: Molecular Evolutionary Genetics Analysis (MEGA) Software Version 4.0	17892	2007	Molecular Biology and Evolution	koichiro tamura	biodesign institute	joel t dudley	biodesign institute
7D0383E0	The CLUSTAL_X Windows Interface: Flexible Strategies for Multiple Sequence Alignment Aided by Quality Analysis Tools	17859	1997	Nucleic Acids Research	julie d thompson		toby j gibson	
76F6A597	A Mathematical Theory of Communication	17787	1963	Bell System Technical Journal	claude e shannon		warren weaver	
7F1D63B3	MEGA5: molecular evolutionary genetics analysis using maximum likelihood, evolutionary distance, and maximum parsimony methods.	17459	2011	Molecular Biology and Evolution	koichiro tamura		daniel peterson	
7DC50994	Controlling the false discovery rate: a practical and powerful approach to multiple testing	16412	1995		yosef hochberg			
80F9348C	The rat brain in stereotaxic coordinates	16248	1997		george paxinos		charles watson	
83E84B61	Official methods of analysis.	15743	1970		w horwitz		n sen	
7AFDC33D	Detection of Specific Sequences Among DNA Fragments Separated by Gel Electrophoresis	15245	1975	Journal of Molecular Biology	edwin m southern			
7DEE7069	The CES-D Scale: A self-report depression scale for research in the general population	14534	1977	Applied Psychological Measurement	lenore sawyer radloff	national institute of mental health		
5E5E5A44	A revised medium for rapid growth and bioassays with tobacco cultures	14313	1962	Physiologia Plantarum	murashige			
7B3B7A2E	An inventory for measuring depression	14023	1961	Archives of General Psychiatry	aaron t beck		c h ward	
7AE74810	Firm Resources and Sustained Competitive Advantage	13839	1991	Journal of Management	jay b barney	texas a m university		
7C26F7C9	MODELTEST: testing the model of DNA substitution.	13709	1998	Bioinformatics	david posada		keith a crandall	
7C2B733E	ller : Efficient iterative schemes for ab initio total-energy calculations using a plane-wave basis set	13514	1996	Physical Review B	georg kresse		jurgen furthmuller	
750A6912	Med. J. Aust.	13298	1983	Toxicon	findlay e russell			
